Signal,3035 - 75th St W 29th Ave W,Unnamed: 2,Unnamed: 3
05/17/21 07:48:37.400,8,Phase Begin Yellow Clearance,2
05/17/21 07:48:42.700,9,Phase End Yellow Clearance,2
05/17/21 07:48:42.700,10,Phase Begin Red Clearance,2
05/17/21 07:48:44.700,11,Phase End Red Clearance,2
05/17/21 07:49:00.000,1,Phase Begin Green,2
05/17/21 07:49:59.400,7,Phase Green Termination,2
05/17/21 07:49:59.400,8,Phase Begin Yellow Clearance,2
05/17/21 07:50:04.700,9,Phase End Yellow Clearance,2
05/17/21 07:50:04.700,10,Phase Begin Red Clearance,2
05/17/21 07:50:06.700,11,Phase End Red Clearance,2
05/17/21 07:50:40.600,1,Phase Begin Green,2
05/17/21 07:51:39.500,7,Phase Green Termination,2
05/17/21 07:51:39.500,8,Phase Begin Yellow Clearance,2
05/17/21 07:51:44.800,9,Phase End Yellow Clearance,2
05/17/21 07:51:44.800,10,Phase Begin Red Clearance,2
05/17/21 07:51:46.800,11,Phase End Red Clearance,2
05/17/21 07:52:09.700,1,Phase Begin Green,2
05/17/21 07:53:19.500,7,Phase Green Termination,2
05/17/21 07:53:19.500,8,Phase Begin Yellow Clearance,2
05/17/21 07:53:24.800,9,Phase End Yellow Clearance,2
05/17/21 07:53:24.800,10,Phase Begin Red Clearance,2
05/17/21 07:53:26.800,11,Phase End Red Clearance,2
05/17/21 07:53:42.100,1,Phase Begin Green,2
05/17/21 07:54:59.500,7,Phase Green Termination,2
05/17/21 07:54:59.500,8,Phase Begin Yellow Clearance,2
05/17/21 07:55:04.800,9,Phase End Yellow Clearance,2
05/17/21 07:55:04.800,10,Phase Begin Red Clearance,2
05/17/21 07:55:06.800,11,Phase End Red Clearance,2
05/17/21 07:55:26.400,1,Phase Begin Green,2
05/17/21 07:56:52.100,7,Phase Green Termination,2
05/17/21 07:56:52.100,8,Phase Begin Yellow Clearance,2
05/17/21 07:56:57.400,9,Phase End Yellow Clearance,2
05/17/21 07:56:57.400,10,Phase Begin Red Clearance,2
05/17/21 07:56:59.400,11,Phase End Red Clearance,2
05/17/21 07:57:16.000,1,Phase Begin Green,2
05/17/21 07:58:19.500,7,Phase Green Termination,2
05/17/21 07:58:19.500,8,Phase Begin Yellow Clearance,2
05/17/21 07:58:24.800,9,Phase End Yellow Clearance,2
05/17/21 07:58:24.800,10,Phase Begin Red Clearance,2
05/17/21 07:58:26.800,11,Phase End Red Clearance,2
05/17/21 07:58:42.100,1,Phase Begin Green,2
05/17/21 08:00:01.400,7,Phase Green Termination,2
05/17/21 08:00:01.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:00:06.700,9,Phase End Yellow Clearance,2
05/17/21 08:00:06.700,10,Phase Begin Red Clearance,2
05/17/21 08:00:08.700,11,Phase End Red Clearance,2
05/17/21 08:00:26.100,1,Phase Begin Green,2
05/17/21 08:01:39.400,7,Phase Green Termination,2
05/17/21 08:01:39.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:01:44.700,9,Phase End Yellow Clearance,2
05/17/21 08:01:44.700,10,Phase Begin Red Clearance,2
05/17/21 08:01:46.700,11,Phase End Red Clearance,2
05/17/21 08:02:26.000,1,Phase Begin Green,2
05/17/21 08:03:19.500,7,Phase Green Termination,2
05/17/21 08:03:19.500,8,Phase Begin Yellow Clearance,2
